"UTC date/time","Unix UTC timestamp","lat","lon","callsign","wind from","knots","gust","barometer","air temp","dew point","water temp"
"2013-Feb-17 1914", 1361128440, 68.460000, -65.244000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1906", 1361127960, 68.460000, -65.244000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1739", 1361122740, 68.460000, -65.244000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1733", 1361122380, 68.461000, -65.247000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1730", 1361122200, 68.460000, -65.244000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1724", 1361121840, 68.461000, -65.247000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1723", 1361121780, 68.461000, -65.258000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1609", 1361117340, 68.458000, -65.249000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1600", 1361116800, 68.458000, -65.249000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1557", 1361116620, 68.462000, -65.241000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1553", 1361116380, 68.458000, -65.249000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1550", 1361116200, 68.458000, -65.249000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1544", 1361115840, 68.462000, -65.256000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1537", 1361115420, 68.462000, -65.256000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1433", 1361111580, 68.462000, -65.256000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1423", 1361110980, 68.459000, -65.232000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1415", 1361110500, 68.462000, -65.256000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1414", 1361110440, 68.458000, -65.250000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1411", 1361110260, 68.462000, -65.256000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1359", 1361109540, 68.459000, -65.232000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1254", 1361105640, 68.459000, -65.232000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1225", 1361103900, 68.460000, -65.235000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1111", 1361099460, 68.462000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1102", 1361098920, 68.462000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1101", 1361098860, 68.459000, -65.230000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1043", 1361097780, 68.459000, -65.230000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 0921", 1361092860, 68.459000, -65.230000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 0906", 1361091960, 68.462000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 0903", 1361091780, 68.463000, -65.244000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 0736", 1361086560, 68.463000, -65.244000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 0726", 1361085960, 68.462000, -65.248000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
